WINGSETH;0.00033460
NAVBTC;0.00000675
NAVETH;0.00011870
NAVBNB;0.00423700
LUNBTC;0.00008510
LUNETH;0.00489100
TRIGBTC;0.00001980
TRIGETH;0.00059400
TRIGBNB;0.01218000
APPCBTC;0.00000139
APPCETH;0.00014600
APPCBNB;0.00189100
VIBEBTC;0.00000042
VIBEETH;0.00005720
RLCBTC;0.00006632
RLCETH;0.00101000
RLCBNB;0.03344000
INSBTC;0.00000618
INSETH;0.00050100
PIVXBTC;0.00001211
PIVXETH;0.00018600
PIVXBNB;0.01660000
IOSTBTC;0.00000084
IOSTETH;0.00001268
CHATBTC;0.00000195
CHATETH;0.00006585
STEEMBTC;0.00000970
STEEMETH;0.00014800
STEEMBNB;0.00448000
NANOBTC;0.00008810
NANOETH;0.00134400
NANOBNB;0.05589000
VIABTC;0.00000681
VIAETH;0.00085600
VIABNB;0.00958000
BLZBTC;0.00000428
BLZETH;0.00006516
BLZBNB;0.00062190
AEBTC;0.00000292
AEETH;0.00021900
AEBNB;0.00777000
RPXBTC;0.00000224
RPXETH;0.00005449
RPXBNB;0.00145700
NCASHBTC;0.00000005
NCASHETH;0.00000083
NCASHBNB;0.00006790
POABTC;0.00000066
POAETH;0.00004891
POABNB;0.00092100
ZILBTC;0.00000169
ZILETH;0.00002562
ZILBNB;0.00021500
ONTBTC;0.00001558
ONTETH;0.00023760
ONTBNB;0.00246200
STORMBTC;0.00000035
STORMETH;0.00001398
STORMBNB;0.00006550
QTUMBNB;0.09597000
QTUMUSDT;13.07000000
XEMBTC;0.00000284
XEMETH;0.00004317
XEMBNB;0.00244100
WANBTC;0.00001543
WANETH;0.00023640
WANBNB;0.00181000
WPRBTC;0.00000027
WPRETH;0.00004020
QLCBTC;0.00000064
QLCETH;0.00000991
SYSBTC;0.00000654
SYSETH;0.00011047
SYSBNB;0.00163500
QLCBNB;0.00092200
GRSBTC;0.00001586
GRSETH;0.00076455
ADAUSDT;2.15100000
ADABNB;0.00448400
CLOAKBTC;0.00015550
CLOAKETH;0.00414200
GNTBTC;0.00000678
GNTETH;0.00022071
GNTBNB;0.00243900
LOOMBTC;0.00000171
LOOMETH;0.00002608
LOOMBNB;0.00088500
XRPUSDT;1.08900000
BCNBTC;0.00000022
BCNETH;0.00000707
BCNBNB;0.00002000
REPBTC;0.00040000
REPETH;0.00613400
REPBNB;0.44670000
BTCTUSD;61333.72000000
TUSDBTC;0.00025971
ETHTUSD;4020.78000000
TUSDETH;0.00762097
TUSDBNB;0.06777000
ZENBTC;0.00148200
ZENETH;0.02254000
ZENBNB;0.18910000
SKYBTC;0.00002052
SKYETH;0.00222000
SKYBNB;0.03022000
EOSUSDT;4.69600000
EOSBNB;0.00979000
CVCBTC;0.00000773
CVCETH;0.00011770
CVCBNB;0.00211200
THETABTC;0.00010610
THETAETH;0.00161600
THETABNB;0.01355000
XRPBNB;0.00227200
TUSDUSDT;1.00000000
IOTAUSDT;1.31520000
XLMUSDT;0.37370000
IOTXBTC;0.00000111
IOTXETH;0.00001677
QKCBTC;0.00000049
QKCETH;0.00000741
AGIBTC;0.00000668
AGIETH;0.00007363
AGIBNB;0.00077200
NXSBTC;0.00001090
NXSETH;0.00077300
NXSBNB;0.01087000
ENJBNB;0.00378300
DATABTC;0.00000239
DATAETH;0.00003641
ONTUSDT;0.95590000
TRXBNB;0.00020780
TRXUSDT;0.09982000
ETCUSDT;54.85000000
ETCBNB;0.11430000
ICXUSDT;2.06400000
SCBTC;0.00000030
SCETH;0.00000461
SCBNB;0.00003875
NPXSBTC;0.00000003
NPXSETH;0.00000345
VENUSDT;0.00010000
KEYBTC;0.00000013
KEYETH;0.00000315
NASBTC;0.00000810
NASETH;0.00012260
NASBNB;0.02337000
MFTBTC;0.00000008
MFTETH;0.00000327
MFTBNB;0.00002740
DENTBTC;0.00000004
DENTETH;0.00000148
ARDRBTC;0.00000530
ARDRETH;0.00018870
ARDRBNB;0.00316800
NULSUSDT;0.58850000
HOTBTC;0.00000002
HOTETH;0.00000238
VETBTC;0.00000223
VETETH;0.00003387
VETUSDT;0.13628000
VETBNB;0.00028400
DOCKBTC;0.00000140
DOCKETH;0.00003283
POLYBTC;0.00001147
POLYBNB;0.00145900
PHXBTC;0.00000180
PHXETH;0.00005617
PHXBNB;0.00045600
HCBTC;0.00002000
HCETH;0.00513400
GOBTC;0.00000075
GOBNB;0.00069230
PAXBTC;0.00025175
PAXBNB;0.20121000
PAXUSDT;0.99960000
PAXETH;0.00888047
RVNBTC;0.00000202
RVNBNB;0.00025880
DCRBTC;0.00210000
DCRBNB;0.78100000
USDCBNB;0.21755000
MITHBTC;0.00000084
MITHBNB;0.00010590
BCHABCBTC;0.02933000
BCHSVBTC;0.01117900
